id	family	commonName	otherName
Abeillia abeillei	Trochilidae	Emerald-chinned Hummingbird	NULL
Abroscopus albogularis	Cettiidae	Rufous-faced Warbler	NULL
Abroscopus schisticeps	Cettiidae	Black-faced Warbler	NULL
Abroscopus superciliaris	Cettiidae	Yellow-bellied Warbler	NULL
Aburria aburri	Cracidae	Wattled Guan	NULL
Acanthagenys rufogularis	Meliphagidae	Spiny-cheeked Honeyeater	NULL
Acanthidops bairdi	Thraupidae	Peg-billed Finch	NULL
Acanthis cabaret	Fringillidae	Lesser Redpoll	NULL
Acanthis flammea	Fringillidae	Common Redpoll	NULL
Acanthis hornemanni	Fringillidae	Arctic Redpoll	NULL
Acanthisitta chloris	Acanthisittidae	Rifleman	NULL
Acanthiza apicalis	Acanthizidae	Inland Thornbill	NULL
Acanthiza chrysorrhoa	Acanthizidae	Yellow-rumped Thornbill	NULL
Acanthiza cinerea	Acanthizidae	Grey Thornbill	NULL
Acanthiza ewingii	Acanthizidae	Tasmanian Thornbill	NULL
Acanthiza inornata	Acanthizidae	Western Thornbill	NULL
Acanthiza iredalei	Acanthizidae	Slender-billed Thornbill	NULL
Acanthiza katherina	Acanthizidae	Mountain Thornbill	NULL
Acanthiza lineata	Acanthizidae	Striated Thornbill	NULL
Acanthiza murina	Acanthizidae	New Guinea Thornbill	NULL
Acanthiza nana	Acanthizidae	Yellow Thornbill	NULL
Acanthiza pusilla	Acanthizidae	Brown Thornbill	NULL
Acanthiza reguloides	Acanthizidae	Buff-rumped Thornbill	NULL
Acanthiza robustirostris	Acanthizidae	Slaty-backed Thornbill	NULL
Acanthiza uropygialis	Acanthizidae	Chestnut-rumped Thornbill	NULL
Acanthorhynchus superciliosus	Meliphagidae	Western Spinebill	NULL
Acanthorhynchus tenuirostris	Meliphagidae	Eastern Spinebill	NULL
Acanthornis magna	Acanthizidae	Scrubtit	NULL
Accipiter albogularis	Accipitridae	Pied Goshawk	NULL
Accipiter badius	Accipitridae	Shikra	NULL
Accipiter bicolor	Accipitridae	Bicolored Hawk	NULL
Accipiter brachyurus	Accipitridae	New Britain Sparrowhawk	NULL
Accipiter brevipes	Accipitridae	Levant Sparrowhawk	NULL
Accipiter butleri	Accipitridae	Nicobar Sparrowhawk	NULL
Accipiter castanilius	Accipitridae	Chestnut-flanked Sparrowhawk	NULL
Accipiter chilensis	Accipitridae	Chilean Hawk	NULL
Accipiter chionogaster	Accipitridae	White-breasted Hawk	NULL
Accipiter cirrocephalus	Accipitridae	Collared Sparrowhawk	NULL
Accipiter cooperii	Accipitridae	Cooper's Hawk	NULL
Accipiter erythrauchen	Accipitridae	Rufous-necked Sparrowhawk	NULL
Accipiter erythronemius	Accipitridae	Rufous-thighed Hawk	NULL
Accipiter erythropus	Accipitridae	Red-thighed Sparrowhawk	NULL
Accipiter fasciatus	Accipitridae	Brown Goshawk	NULL
Accipiter francesiae	Accipitridae	Frances's Sparrowhawk	NULL
Accipiter gentilis	Accipitridae	Northern Goshawk	NULL
Accipiter griseiceps	Accipitridae	Sulawesi Goshawk	NULL
Accipiter gularis	Accipitridae	Japanese Sparrowhawk	NULL
Accipiter gundlachi	Accipitridae	Gundlach's Hawk	NULL
Accipiter haplochrous	Accipitridae	White-bellied Goshawk	NULL
Accipiter henicogrammus	Accipitridae	Moluccan Goshawk	NULL
Accipiter henstii	Accipitridae	Henst's Goshawk	NULL
Accipiter hiogaster	Accipitridae	Variable Goshawk	NULL
Accipiter imitator	Accipitridae	Imitator Goshawk	NULL
Accipiter luteoschistaceus	Accipitridae	Slaty-mantled Goshawk	NULL
Accipiter madagascariensis	Accipitridae	Madagascar Sparrowhawk	NULL
Accipiter melanochlamys	Accipitridae	Black-mantled Goshawk	NULL
Accipiter melanoleucus	Accipitridae	Black Sparrowhawk	NULL
Accipiter meyerianus	Accipitridae	Meyer's Goshawk	NULL
Accipiter minullus	Accipitridae	Little Sparrowhawk	NULL
Accipiter nanus	Accipitridae	Dwarf Sparrowhawk	NULL
Accipiter nisus	Accipitridae	Eurasian Sparrowhawk	NULL
Accipiter novaehollandiae	Accipitridae	Grey Goshawk	NULL
Accipiter ovampensis	Accipitridae	Ovambo Sparrowhawk	NULL
Accipiter poliocephalus	Accipitridae	Grey-headed Goshawk	NULL
Accipiter poliogaster	Accipitridae	Grey-bellied Hawk	NULL
Accipiter princeps	Accipitridae	New Britain Goshawk	NULL
Accipiter rhodogaster	Accipitridae	Vinous-breasted Sparrowhawk	NULL
Accipiter rufitorques	Accipitridae	Fiji Goshawk	NULL
Accipiter rufiventris	Accipitridae	Rufous-breasted Sparrowhawk	NULL
Accipiter soloensis	Accipitridae	Chinese Sparrowhawk	NULL
Accipiter striatus	Accipitridae	Sharp-shinned Hawk	NULL
Accipiter tachiro	Accipitridae	African Goshawk	NULL
Accipiter toussenelii	Accipitridae	Red-chested Goshawk	NULL
Accipiter trinotatus	Accipitridae	Spot-tailed Sparrowhawk	NULL
Accipiter trivirgatus	Accipitridae	Crested Goshawk	NULL
Accipiter ventralis	Accipitridae	Plain-breasted Hawk	NULL
Accipiter virgatus	Accipitridae	Besra	NULL
Aceros nipalensis	Bucerotidae	Rufous-necked Hornbill	NULL
Achaetops pycnopygius	Macrosphenidae	Rockrunner	NULL
Acridotheres albocinctus	Sturnidae	Collared Myna	NULL
Acridotheres burmannicus	Sturnidae	Vinous-breasted Starling	NULL
Acridotheres cinereus	Sturnidae	Pale-bellied Myna	NULL
Acridotheres cristatellus	Sturnidae	Crested Myna	NULL
Acridotheres fuscus	Sturnidae	Jungle Myna	NULL
Acridotheres ginginianus	Sturnidae	Bank Myna	NULL
Acridotheres grandis	Sturnidae	Great Myna	NULL
Acridotheres javanicus	Sturnidae	Javan Myna	NULL
Acridotheres melanopterus	Sturnidae	Black-winged Starling	NULL
Acridotheres tristis	Sturnidae	Common Myna	NULL
Acritillas indica	Pycnonotidae	Yellow-browed Bulbul	NULL
Acrobatornis fonsecai	Furnariidae	Pink-legged Graveteiro	NULL
Acrocephalus aequinoctialis	Acrocephalidae	Bokikokiko	NULL
Acrocephalus agricola	Acrocephalidae	Paddyfield Warbler	NULL
Acrocephalus arundinaceus	Acrocephalidae	Great Reed Warbler	NULL
Acrocephalus astrolabii	Acrocephalidae	Mangareva Reed Warbler	NULL
Acrocephalus atyphus	Acrocephalidae	Tuamotu Reed Warbler	NULL
Acrocephalus australis	Acrocephalidae	Australian Reed Warbler	NULL
Acrocephalus baeticatus	Acrocephalidae	African Reed Warbler	NULL
Acrocephalus bistrigiceps	Acrocephalidae	Black-browed Reed Warbler	NULL
Acrocephalus brevipennis	Acrocephalidae	Cape Verde Warbler	NULL
Acrocephalus caffer	Acrocephalidae	Tahiti Reed Warbler	NULL
Acrocephalus concinens	Acrocephalidae	Blunt-winged Warbler	NULL
Acrocephalus dumetorum	Acrocephalidae	Blyth's Reed Warbler	NULL
Acrocephalus familiaris	Acrocephalidae	Millerbird	NULL
Acrocephalus gracilirostris	Acrocephalidae	Lesser Swamp Warbler	NULL
Acrocephalus griseldis	Acrocephalidae	Basra Reed Warbler	NULL
Acrocephalus hiwae	Acrocephalidae	Saipan Reed Warbler	NULL
Acrocephalus kerearako	Acrocephalidae	Cook Reed Warbler	NULL
Acrocephalus longirostris	Acrocephalidae	Moorea Reed Warbler	NULL
Acrocephalus luscinius	Acrocephalidae	Nightingale Reed Warbler	NULL
Acrocephalus melanopogon	Acrocephalidae	Moustached Warbler	NULL
Acrocephalus mendanae	Acrocephalidae	Southern Marquesan Reed Warbler	NULL
Acrocephalus musae	Acrocephalidae	Garrett's Reed Warbler	NULL
Acrocephalus newtoni	Acrocephalidae	Madagascar Swamp Warbler	NULL
Acrocephalus nijoi	Acrocephalidae	Aguiguan Reed Warbler	NULL
Acrocephalus orientalis	Acrocephalidae	Oriental Reed Warbler	NULL
Acrocephalus orinus	Acrocephalidae	Large-billed Reed Warbler	NULL
Acrocephalus paludicola	Acrocephalidae	Aquatic Warbler	NULL
Acrocephalus palustris	Acrocephalidae	Marsh Warbler	NULL
Acrocephalus percernis	Acrocephalidae	Northern Marquesan Reed Warbler	NULL
Acrocephalus rehsei	Acrocephalidae	Nauru Reed Warbler	NULL
Acrocephalus rimitarae	Acrocephalidae	Rimatara Reed Warbler	NULL
Acrocephalus rodericanus	Acrocephalidae	Rodrigues Warbler	NULL
Acrocephalus rufescens	Acrocephalidae	Greater Swamp Warbler	NULL
Acrocephalus schoenobaenus	Acrocephalidae	Sedge Warbler	NULL
Acrocephalus scirpaceus	Acrocephalidae	Common Reed Warbler	Eurasian Reed Warbler
Acrocephalus sechellensis	Acrocephalidae	Seychelles Warbler	NULL
Acrocephalus sorghophilus	Acrocephalidae	Speckled Reed Warbler	NULL
Acrocephalus stentoreus	Acrocephalidae	Clamorous Reed Warbler	NULL
Acrocephalus syrinx	Acrocephalidae	Caroline Reed Warbler	NULL
Acrocephalus taiti	Acrocephalidae	Henderson Reed Warbler	NULL
Acrocephalus tangorum	Acrocephalidae	Manchurian Reed Warbler	NULL
Acrocephalus vaughani	Acrocephalidae	Pitcairn Reed Warbler	NULL
Acrocephalus yamashinae	Acrocephalidae	Pagan Reed Warbler	NULL
Acropternis orthonyx	Rhinocryptidae	Ocellated Tapaculo	NULL
Acryllium vulturinum	Numididae	Vulturine Guineafowl	NULL
Actenoides bougainvillei	Alcedinidae	Moustached Kingfisher	NULL
Actenoides concretus	Alcedinidae	Rufous-collared Kingfisher	NULL
Actenoides hombroni	Alcedinidae	Hombron's Kingfisher	NULL
Actenoides lindsayi	Alcedinidae	Spotted Wood Kingfisher	NULL
Actenoides monachus	Alcedinidae	Green-backed Kingfisher	NULL
Actenoides princeps	Alcedinidae	Scaly-breasted Kingfisher	NULL
Actinodura cyanouroptera	Leiothrichidae	Blue-winged Minla	NULL
Actinodura egertoni	Leiothrichidae	Rusty-fronted Barwing	NULL
Actinodura morrisoniana	Leiothrichidae	Taiwan Barwing	NULL
Actinodura nipalensis	Leiothrichidae	Hoary-throated Barwing	NULL
Actinodura ramsayi	Leiothrichidae	Spectacled Barwing	NULL
Actinodura sodangorum	Leiothrichidae	Black-crowned Barwing	NULL
Actinodura souliei	Leiothrichidae	Streaked Barwing	NULL
Actinodura strigula	Leiothrichidae	Bar-throated Minla	NULL
Actinodura waldeni	Leiothrichidae	Streak-throated Barwing	NULL
Actitis hypoleucos	Scolopacidae	Common Sandpiper	NULL
Actitis macularius	Scolopacidae	Spotted Sandpiper	NULL
Actophilornis africanus	Jacanidae	African Jacana	NULL
Actophilornis albinucha	Jacanidae	Madagascar Jacana	NULL
Adelomyia melanogenys	Trochilidae	Speckled Hummingbird	NULL
Aechmophorus clarkii	Podicipedidae	Clark's Grebe	NULL
Aechmophorus occidentalis	Podicipedidae	Western Grebe	NULL
Aegithalos bonvaloti	Aegithalidae	Black-browed Bushtit	NULL
Aegithalos caudatus	Aegithalidae	Long-tailed Tit	NULL
Aegithalos concinnus	Aegithalidae	Black-throated Bushtit	NULL
Aegithalos exilis	Aegithalidae	Pygmy Bushtit	NULL
Aegithalos fuliginosus	Aegithalidae	Sooty Bushtit	NULL
Aegithalos glaucogularis	Aegithalidae	Silver-throated Bushtit	NULL
Aegithalos iouschistos	Aegithalidae	Rufous-fronted Bushtit	NULL
Aegithalos leucogenys	Aegithalidae	White-cheeked Bushtit	NULL
Aegithalos niveogularis	Aegithalidae	White-throated Bushtit	NULL
Aegithalos sharpei	Aegithalidae	Burmese Bushtit	NULL
Aegithina lafresnayei	Aegithinidae	Great Iora	NULL
Aegithina nigrolutea	Aegithinidae	Marshall's Iora	NULL
Aegithina tiphia	Aegithinidae	Common Iora	NULL
Aegithina viridissima	Aegithinidae	Green Iora	NULL
Aegolius acadicus	Strigidae	Northern Saw-whet Owl	NULL
Aegolius funereus	Strigidae	Boreal Owl	NULL
Aegolius gradyi	Strigidae	Bermuda Saw-whet Owl	NULL
Aegolius harrisii	Strigidae	Buff-fronted Owl	NULL
Aegolius ridgwayi	Strigidae	Unspotted Saw-whet Owl	NULL
Aegotheles affinis	Aegothelidae	Vogelkop Owlet-nightjar	NULL
Aegotheles albertisi	Aegothelidae	Mountain Owlet-nightjar	NULL
Aegotheles bennettii	Aegothelidae	Barred Owlet-nightjar	NULL
Aegotheles crinifrons	Aegothelidae	Moluccan Owlet-nightjar	NULL
Aegotheles cristatus	Aegothelidae	Australian Owlet-nightjar	NULL
Aegotheles insignis	Aegothelidae	Feline Owlet-nightjar	NULL
Aegotheles savesi	Aegothelidae	New Caledonian Owlet-nightjar	NULL
Aegotheles tatei	Aegothelidae	Starry Owlet-nightjar	NULL
Aegotheles wallacii	Aegothelidae	Wallace's Owlet-nightjar	NULL
Aegypius monachus	Accipitridae	Cinereous Vulture	NULL
Aenigmatolimnas marginalis	Rallidae	Striped Crake	NULL
Aepypodius arfakianus	Megapodiidae	Wattled Brushturkey	NULL
Aepypodius bruijnii	Megapodiidae	Waigeo Brushturkey	NULL
Aerodramus amelis	Apodidae	Ameline Swiftlet	NULL
Aerodramus bartschi	Apodidae	Mariana Swiftlet	NULL
Aerodramus brevirostris	Apodidae	Himalayan Swiftlet	NULL
Aerodramus ceramensis	Apodidae	Seram Swiftlet	NULL
Aerodramus elaphrus	Apodidae	Seychelles Swiftlet	NULL
Aerodramus francicus	Apodidae	Mascarene Swiftlet	NULL
Aerodramus fuciphagus	Apodidae	Edible-nest Swiftlet	NULL
Aerodramus germani	Apodidae	Germain's Swiftlet	NULL
Aerodramus hirundinaceus	Apodidae	Mountain Swiftlet	NULL
Aerodramus infuscatus	Apodidae	Halmahera Swiftlet	NULL
Aerodramus inquietus	Apodidae	Island Swiftlet	NULL
Aerodramus leucophaeus	Apodidae	Tahiti Swiftlet	NULL
Aerodramus maximus	Apodidae	Black-nest Swiftlet	NULL
Aerodramus mearnsi	Apodidae	Philippine Swiftlet	NULL
Aerodramus nuditarsus	Apodidae	Bare-legged Swiftlet	NULL
Aerodramus ocistus	Apodidae	Marquesan Swiftlet	NULL
Aerodramus orientalis	Apodidae	Mayr's Swiftlet	NULL
Aerodramus papuensis	Apodidae	Three-toed Swiftlet	NULL
Aerodramus pelewensis	Apodidae	Palau Swiftlet	NULL
Aerodramus salangana	Apodidae	Mossy-nest Swiftlet	NULL
Aerodramus sawtelli	Apodidae	Atiu Swiftlet	NULL
Aerodramus sororum	Apodidae	Sulawesi Swiftlet	NULL
Aerodramus spodiopygius	Apodidae	White-rumped Swiftlet	NULL
Aerodramus terraereginae	Apodidae	Australian Swiftlet	NULL
Aerodramus unicolor	Apodidae	Indian Swiftlet	NULL
Aerodramus vanikorensis	Apodidae	Uniform Swiftlet	NULL
Aerodramus vulcanorum	Apodidae	Volcano Swiftlet	NULL
Aerodramus whiteheadi	Apodidae	Whitehead's Swiftlet	NULL
Aeronautes andecolus	Apodidae	Andean Swift	NULL
Aeronautes montivagus	Apodidae	White-tipped Swift	NULL
Aeronautes saxatalis	Apodidae	White-throated Swift	NULL
Aethia cristatella	Alcidae	Crested Auklet	NULL
Aethia psittacula	Alcidae	Parakeet Auklet	NULL
Aethia pusilla	Alcidae	Least Auklet	NULL
Aethia pygmaea	Alcidae	Whiskered Auklet	NULL
Aethomyias arfakianus	Acanthizidae	Grey-green Scrubwren	NULL
Aethomyias nigrorufus	Acanthizidae	Bicolored Scrubwren	NULL
Aethomyias papuensis	Acanthizidae	Papuan Scrubwren	NULL
Aethomyias perspicillatus	Acanthizidae	Buff-faced Scrubwren	NULL
Aethomyias rufescens	Acanthizidae	Vogelkop Scrubwren	NULL
Aethomyias spilodera	Acanthizidae	Pale-billed Scrubwren	NULL
Aethopyga bella	Nectariniidae	Handsome Sunbird	NULL
Aethopyga boltoni	Nectariniidae	Apo Sunbird	NULL
Aethopyga christinae	Nectariniidae	Fork-tailed Sunbird	NULL
Aethopyga decorosa	Nectariniidae	Bohol Sunbird	NULL
Aethopyga duyvenbodei	Nectariniidae	Elegant Sunbird	NULL
Aethopyga eximia	Nectariniidae	White-flanked Sunbird	NULL
Aethopyga flagrans	Nectariniidae	Flaming Sunbird	NULL
Aethopyga gouldiae	Nectariniidae	Mrs. Gould's Sunbird	NULL
Aethopyga guimarasensis	Nectariniidae	Maroon-naped Sunbird	NULL
Aethopyga ignicauda	Nectariniidae	Fire-tailed Sunbird	NULL
Aethopyga jefferyi	Nectariniidae	Luzon Sunbird	NULL
Aethopyga linaraborae	Nectariniidae	Lina's Sunbird	NULL
Aethopyga magnifica	Nectariniidae	Magnificent Sunbird	NULL
Aethopyga mystacalis	Nectariniidae	Javan Sunbird	NULL
Aethopyga nipalensis	Nectariniidae	Green-tailed Sunbird	NULL
Aethopyga primigenia	Nectariniidae	Grey-hooded Sunbird	NULL
Aethopyga pulcherrima	Nectariniidae	Metallic-winged Sunbird	NULL
Aethopyga saturata	Nectariniidae	Black-throated Sunbird	NULL
Aethopyga shelleyi	Nectariniidae	Lovely Sunbird	NULL
Aethopyga siparaja	Nectariniidae	Crimson Sunbird	NULL
Aethopyga temminckii	Nectariniidae	Temminck's Sunbird	NULL
Aethopyga vigorsii	Nectariniidae	Vigors's Sunbird	NULL
Afropavo congensis	Phasianidae	Congo Peafowl	NULL
Afrotis afra	Otididae	Southern Black Korhaan	NULL
Afrotis afraoides	Otididae	Northern Black Korhaan	NULL
Agamia agami	Ardeidae	Agami Heron	NULL
Agapornis canus	Psittaculidae	Grey-headed Lovebird	NULL
Agapornis fischeri	Psittaculidae	Fischer's Lovebird	NULL
Agapornis lilianae	Psittaculidae	Lilian's Lovebird	NULL
Agapornis nigrigenis	Psittaculidae	Black-cheeked Lovebird	NULL
Agapornis personatus	Psittaculidae	Yellow-collared Lovebird	NULL
Agapornis pullarius	Psittaculidae	Red-headed Lovebird	NULL
Agapornis roseicollis	Psittaculidae	Rosy-faced Lovebird	NULL
Agapornis swindernianus	Psittaculidae	Black-collared Lovebird	NULL
Agapornis taranta	Psittaculidae	Black-winged Lovebird	NULL
Agelaioides badius	Icteridae	Greyish Baywing	NULL
Agelaioides fringillarius	Icteridae	Pale Baywing	NULL
Agelaius assimilis	Icteridae	Red-shouldered Blackbird	NULL
Agelaius humeralis	Icteridae	Tawny-shouldered Blackbird	NULL
Agelaius phoeniceus	Icteridae	Red-winged Blackbird	NULL
Agelaius tricolor	Icteridae	Tricolored Blackbird	NULL
Agelaius xanthomus	Icteridae	Yellow-shouldered Blackbird	NULL
Agelastes meleagrides	Numididae	White-breasted Guineafowl	NULL
Agelastes niger	Numididae	Black Guineafowl	NULL
Agelasticus cyanopus	Icteridae	Unicolored Blackbird	NULL
Agelasticus thilius	Icteridae	Yellow-winged Blackbird	NULL
Agelasticus xanthophthalmus	Icteridae	Pale-eyed Blackbird	NULL
Aglaeactis aliciae	Trochilidae	Purple-backed Sunbeam	NULL
Aglaeactis castelnaudii	Trochilidae	White-tufted Sunbeam	NULL
Aglaeactis cupripennis	Trochilidae	Shining Sunbeam	NULL
Aglaeactis pamela	Trochilidae	Black-hooded Sunbeam	NULL
Aglaiocercus berlepschi	Trochilidae	Venezuelan Sylph	NULL
Aglaiocercus coelestis	Trochilidae	Violet-tailed Sylph	NULL
Aglaiocercus kingii	Trochilidae	Long-tailed Sylph	NULL
Agraphospiza rubescens	Fringillidae	Blanford's Rosefinch	NULL
Agriornis albicauda	Tyrannidae	White-tailed Shrike-Tyrant	NULL
Agriornis lividus	Tyrannidae	Great Shrike-Tyrant	NULL
Agriornis micropterus	Tyrannidae	Grey-bellied Shrike-Tyrant	NULL
Agriornis montanus	Tyrannidae	Black-billed Shrike-Tyrant	NULL
Agriornis murinus	Tyrannidae	Lesser Shrike-Tyrant	NULL
Agropsar philippensis	Sturnidae	Chestnut-cheeked Starling	NULL
Agropsar sturninus	Sturnidae	Daurian Starling	NULL
Aidemosyne modesta	Estrildidae	Plum-headed Finch	NULL
Ailuroedus arfakianus	Ptilonorhynchidae	Arfak Catbird	NULL
Ailuroedus astigmaticus	Ptilonorhynchidae	Huon Catbird	NULL
Ailuroedus buccoides	Ptilonorhynchidae	White-eared Catbird	NULL
Ailuroedus crassirostris	Ptilonorhynchidae	Green Catbird	NULL
Ailuroedus geislerorum	Ptilonorhynchidae	Tan-capped Catbird	NULL
Ailuroedus jobiensis	Ptilonorhynchidae	Northern Catbird	NULL
Ailuroedus maculosus	Ptilonorhynchidae	Spotted Catbird	NULL
Ailuroedus melanocephalus	Ptilonorhynchidae	Black-capped Catbird	NULL
Ailuroedus melanotis	Ptilonorhynchidae	Black-eared Catbird	NULL
Ailuroedus stonii	Ptilonorhynchidae	Ochre-breasted Catbird	NULL
Aimophila notosticta	Passerellidae	Oaxaca Sparrow	NULL
Aimophila rufescens	Passerellidae	Rusty Sparrow	NULL
Aimophila ruficeps	Passerellidae	Rufous-crowned Sparrow	NULL
Aix galericulata	Anatidae	Mandarin Duck	NULL
Aix sponsa	Anatidae	Wood Duck	NULL
Akialoa ellisiana	Fringillidae	O'ahu 'Akialoa	NULL
Akialoa lanaiensis	Fringillidae	Maui Nui 'akialoa	NULL
Akialoa obscura	Fringillidae	Lesser Akialoa	NULL
Akialoa stejnegeri	Fringillidae	Kaua'i 'akialoa	NULL
Akletos goeldii	Thamnophilidae	Goeldi's Antbird	NULL
Akletos melanoceps	Thamnophilidae	White-shouldered Antbird	NULL
Alaemon alaudipes	Alaudidae	Greater Hoopoe-Lark	NULL
Alaemon hamertoni	Alaudidae	Lesser Hoopoe-Lark	NULL
Alauda arvensis	Alaudidae	Eurasian Skylark	NULL
Alauda gulgula	Alaudidae	Oriental Skylark	NULL
Alauda leucoptera	Alaudidae	White-winged Lark	NULL
Alauda razae	Alaudidae	Raso Lark	NULL
Alaudala athensis	Alaudidae	Athi Short-toed Lark	NULL
Alaudala cheleensis	Alaudidae	Asian Short-toed Lark	NULL
Alaudala heinei	Alaudidae	Turkestan Short-toed Lark	NULL
Alaudala raytal	Alaudidae	Sand Lark	NULL
Alaudala rufescens	Alaudidae	Mediterranean Short-toed Lark	NULL
Alaudala somalica	Alaudidae	Somali Short-toed Lark	NULL
Alca torda	Alcidae	Razorbill	NULL
Alcedo atthis	Alcedinidae	Common Kingfisher	NULL
Alcedo coerulescens	Alcedinidae	Cerulean Kingfisher	NULL
Alcedo euryzona	Alcedinidae	Blue-banded Kingfisher	NULL
Alcedo hercules	Alcedinidae	Blyth's Kingfisher	NULL
Alcedo meninting	Alcedinidae	Blue-eared Kingfisher	NULL
Alcedo quadribrachys	Alcedinidae	Shining-blue Kingfisher	NULL
Alcedo semitorquata	Alcedinidae	Half-collared Kingfisher	NULL
Alcippe brunneicauda	Alcippeidae	Brown Fulvetta	NULL
Alcippe davidi	Alcippeidae	David's Fulvetta	NULL
Alcippe fratercula	Alcippeidae	Yunnan Fulvetta	NULL
Alcippe grotei	Alcippeidae	Black-browed Fulvetta	NULL
Alcippe hueti	Alcippeidae	Huet's Fulvetta	NULL
Alcippe morrisonia	Alcippeidae	Grey-cheeked Fulvetta	NULL
Alcippe nipalensis	Alcippeidae	Nepal Fulvetta	NULL
Alcippe peracensis	Alcippeidae	Mountain Fulvetta	NULL
Alcippe poioicephala	Alcippeidae	Brown-cheeked Fulvetta	NULL
Alcippe pyrrhoptera	Alcippeidae	Javan Fulvetta	NULL
Alcurus striatus	Pycnonotidae	Striated Bulbul	NULL
Alcurus tympanistrigus	Pycnonotidae	Spot-necked Bulbul	NULL
Aleadryas rufinucha	Oreoicidae	Rufous-naped Bellbird	NULL
Alectoris barbara	Phasianidae	Barbary Partridge	NULL
Alectoris chukar	Phasianidae	Chukar Partridge	NULL
Alectoris graeca	Phasianidae	Rock Partridge	NULL
Alectoris magna	Phasianidae	Przevalski's Partridge	NULL
Alectoris melanocephala	Phasianidae	Arabian Partridge	NULL
Alectoris philbyi	Phasianidae	Philby's Partridge	NULL
Alectoris rufa	Phasianidae	Red-legged Partridge	NULL
Alectroenas madagascariensis	Columbidae	Madagascar Blue Pigeon	NULL
Alectroenas nitidissimus	Columbidae	Mauritius Blue Pigeon	NULL
Alectroenas payandeei	Columbidae	Rodrigues Blue-Pigeon	NULL
Alectroenas pulcherrimus	Columbidae	Seychelles Blue Pigeon	NULL
Alectroenas sganzini	Columbidae	Comoros Blue Pigeon	NULL
Alectrurus risora	Tyrannidae	Strange-tailed Tyrant	NULL
Alectrurus tricolor	Tyrannidae	Cock-tailed Tyrant	NULL
Alectura lathami	Megapodiidae	Australian Brushturkey	NULL
Alethe castanea	Muscicapidae	Fire-crested Alethe	NULL
Alethe diademata	Muscicapidae	White-tailed Alethe	NULL
Alipiopsitta xanthops	Psittacidae	Yellow-faced Parrot	NULL
Alisterus amboinensis	Psittaculidae	Moluccan King Parrot	NULL
Alisterus chloropterus	Psittaculidae	Papuan King Parrot	NULL
Alisterus scapularis	Psittaculidae	Australian King Parrot	NULL
Alle alle	Alcidae	Little Auk	NULL
Allenia fusca	Mimidae	Scaly-breasted Thrasher	NULL
Alophoixus bres	Pycnonotidae	Brown-cheeked Bulbul	NULL
Alophoixus flaveolus	Pycnonotidae	White-throated Bulbul	NULL
Alophoixus frater	Pycnonotidae	Palawan Bulbul	NULL
Alophoixus ochraceus	Pycnonotidae	Ochraceous Bulbul	NULL
Alophoixus pallidus	Pycnonotidae	Puff-throated Bulbul	NULL
Alophoixus phaeocephalus	Pycnonotidae	Yellow-bellied Bulbul	NULL
Alophoixus ruficrissus	Pycnonotidae	Penan Bulbul	NULL
Alophoixus tephrogenys	Pycnonotidae	Grey-cheeked Bulbul	NULL
Alopochelidon fucata	Hirundinidae	Tawny-headed Swallow	NULL
Alopochen aegyptiaca	Anatidae	Egyptian Goose	NULL
Alopochen kervazoi	Anatidae	Reunion Sheldgoose	NULL
Alopochen mauritiana	Anatidae	Mauritius Sheldgoose	NULL
Amadina erythrocephala	Estrildidae	Red-headed Finch	NULL
Amadina fasciata	Estrildidae	Cut-throat Finch	NULL
Amalocichla incerta	Petroicidae	Lesser Ground Robin	NULL
Amalocichla sclateriana	Petroicidae	Greater Ground Robin	NULL
Amandava amandava	Estrildidae	Red Avadavat	NULL
Amandava formosa	Estrildidae	Green Avadavat	NULL
Amandava subflava	Estrildidae	Orange-breasted Waxbill	NULL
Amaurolimnas concolor	Rallidae	Uniform Crake	NULL
Amaurornis isabellina	Rallidae	Isabelline Bush-hen	NULL
Amaurornis magnirostris	Rallidae	Talaud Bush-hen	NULL
Amaurornis moluccana	Rallidae	Pale-vented Bush-hen	NULL
Amaurornis olivacea	Rallidae	Plain Bush-hen	NULL
Amaurornis phoenicurus	Rallidae	White-breasted Waterhen	NULL
Amaurospiza aequatorialis	Cardinalidae	Ecuadorian Seedeater	NULL
Amaurospiza carrizalensis	Cardinalidae	Carrizal Seedeater	NULL
Amaurospiza concolor	Cardinalidae	Cabanis's Seedeater	NULL
Amaurospiza moesta	Cardinalidae	Blackish-blue Seedeater	NULL
Amazilia boucardi	Trochilidae	Mangrove Hummingbird	NULL
Amazilia luciae	Trochilidae	Honduran Emerald	NULL
Amazilia rutila	Trochilidae	Cinnamon Hummingbird	NULL
Amazilia tzacatl	Trochilidae	Rufous-tailed Hummingbird	NULL
Amazilia yucatanensis	Trochilidae	Buff-bellied Hummingbird	NULL
Amazilis amazilia	Trochilidae	Amazilia Hummingbird	NULL
Amazona aestiva	Psittacidae	Turquoise-fronted Amazon	NULL
Amazona agilis	Psittacidae	Black-billed Amazon	NULL
Amazona albifrons	Psittacidae	White-fronted Amazon	NULL
Amazona amazonica	Psittacidae	Orange-winged Amazon	NULL
Amazona arausiaca	Psittacidae	Red-necked Amazon	NULL
Amazona auropalliata	Psittacidae	Yellow-naped Amazon	Yellow-naped Parrot
Amazona autumnalis	Psittacidae	Red-lored Amazon	NULL
